Modality,Item,More Information,Count ,Cost per Unit $ ,Total Cost $,Checked,mouser.com,amazon.com
brain,Raspberry Pi (RPi),"Pi 4, 8GB",3,75,225,TRUE,https://www.mouser.com/ProductDetail/Raspberry-Pi/SC01959?qs=T%252BzbugeAwjhNCW2QVhlotw%3D%3D&_gl=1*ndin2h*_ga*dW5kZWZpbmVk*_ga_15W4STQT4T*dW5kZWZpbmVk*_ga_1KQLCYKRX3*dW5kZWZpbmVk,
,,"Pi 5, 8GB",1,80,80,TRUE,https://www.mouser.com/ProductDetail/Raspberry-Pi/SC1112?qs=HoCaDK9Nz5c86n0i5EQ%2FPA%3D%3D,
,Heatsink Kit,for Pi 4,3,0.99,2.97,TRUE,https://www.mouser.com/ProductDetail/Seeed-Studio/110991327?qs=RcG8xmE7yp3Tarensb79KQ%3D%3D,
,Active Cooler,for Pi 5,1,5,5,TRUE,https://www.mouser.com/ProductDetail/Raspberry-Pi/SC1148?qs=HoCaDK9Nz5fqo0izK2taew%3D%3D,
,SenseCAP Watcher W1-A AI Agent,Clear Enclosure,1,70,70,TRUE,,https://www.amazon.com/SenseCAP-Watcher-Enclosure-Processor-Microphone/dp/B0F8TQ13KR/ref=sr_1_1?sr=8-1
,RPi power supply,Pi 5 USB-C US Plug 27W,4,12,48,TRUE,https://www.mouser.com/ProductDetail/Raspberry-Pi/SC1158?qs=HoCaDK9Nz5cK620ydyaGmA%3D%3D,
,SD Card,"micro SD card (64 GB) + adapter
Memory card; Extreme Pro, 
A2 Spec; microSDXC; R: 200MB/s",4,8.44,33.76,TRUE,https://www.mouser.com/ProductDetail/Raspberry-Pi/SC1629?qs=IKkN%2F947nfBrx9rREVJ71A%3D%3D,
,SD Card Reader,USB for laptops w/o SD card reader,1,7,7,TRUE,https://www.mouser.com/ProductDetail/Seeed-Studio/112990066?qs=uwxL4vQweFNe5GsTruWNIg%3D%3D,
display,Cheap Yellow Display,"resistive touch, CYD",3,30,90,TRUE,,https://www.amazon.com/ESP32-2432S028R-Dual-core-Display-ILI9341-240X320/dp/B0D9RKVCHB/ref=pd_ci_mcx_di_int_sccai_cn_d_sccl_1_17/136-2118434-7872364?psc=1
audio,Adafruit Voice Bonnet,adafruit voice bonnet v2,1,24.5,24.5,TRUE,https://www.mouser.com/ProductDetail/Adafruit/4757?qs=hd1VzrDQEGhW9KybIMsAsg%3D%3D,
,Respeaker (seeed studio),2 mic array,3,12.9,38.7,TRUE,https://www.mouser.com/ProductDetail/Seeed-Studio/107100001?qs=pfd5qewlna6HLrbantKShQ%3D%3D,
